post_id,datetime,platform,country,language,topic,sentiment_polarity,sentiment_category,sentiment_intensity,emotion,engagement_likes,engagement_shares,engagement_comments,influencer_level,keywords,risk_flag
P00383,2025-03-05 07:03:57,Twitter,Tanzania,Spanish,Mobile App,0.26,Positive,Low,Trust,3443,966,39,High,loan approved,0
P00384,2025-04-20 22:01:36,Instagram,Tanzania,Twi,Customer Support,0.75,Positive,High,Trust,2533,180,751,Medium,helpful staff,1
P00385,2025-05-06 07:15:06,TikTok,Tanzania,English,Mobile App,0.47,Positive,Medium,Joy,693,612,331,Low,loan approved,0
P00386,2025-05-05 11:17:34,Facebook,Zambia,Swahili,Customer Support,0.61,Positive,Medium,Disgust,4120,696,647,High,loan approved,0
P00387,2025-03-14 12:08:04,Facebook,Colombia,Swahili,Customer Support,-0.44,Negative,Medium,Trust,155,602,181,Low,high interest,0
P00388,2025-07-18 21:33:46,Instagram,Zambia,Spanish,Interest Rates,-0.65,Negative,Medium,Trust,3588,247,264,Low,bad service,0
P00389,2025-04-19 20:58:59,Twitter,Botswana,Spanish,Interest Rates,0.5,Positive,Medium,Surprise,1812,358,770,Low,helpful staff,0
P00390,2025-07-26 05:41:18,Twitter,Mexico,Spanish,Interest Rates,0.61,Positive,Medium,Anger,4114,248,693,High,fast process,0
P00391,2025-02-12 09:15:38,LinkedIn,South Africa,Twi,Interest Rates,0.98,Positive,High,Anger,1407,637,532,Low,fast process,0
P00392,2025-03-04 23:15:52,Twitter,Tanzania,Swahili,Loan Application,-0.17,Negative,Low,Disgust,1216,949,431,Low,slow approval,0
P00393,2025-04-15 14:08:33,LinkedIn,Ghana,Swahili,Repayment,-0.26,Negative,Low,Anticipation,1410,1111,195,High,fraud,0
P00394,2025-02-01 10:02:41,LinkedIn,Zambia,Twi,Savings Product,0.55,Positive,Medium,Fear,3497,662,723,High,excellent service,0
P00395,2025-04-17 19:29:50,Twitter,South Africa,Spanish,Loan Application,-0.32,Negative,Low,Joy,4372,175,508,High,high interest,0
P00396,2025-03-24 11:56:08,Twitter,Botswana,Spanish,Customer Support,0.86,Positive,High,Trust,4840,722,446,Medium,great rates,0
P00397,2025-07-30 21:53:13,LinkedIn,Zambia,Spanish,Repayment,0.72,Positive,High,Disgust,551,425,527,Medium,great rates,0
P00398,2025-07-03 06:02:01,Facebook,Colombia,Swahili,Interest Rates,-0.14,Negative,Low,Disgust,3394,770,201,Low,bad service,0
P00399,2025-07-03 10:58:04,Instagram,South Africa,Spanish,Savings Product,0.5,Positive,Medium,Anticipation,1176,702,729,Medium,excellent service,0
P00400,2025-04-30 08:29:33,Facebook,South Africa,English,Interest Rates,0.51,Positive,Medium,Fear,4734,80,604,Low,helpful staff,0
P00401,2025-03-28 09:21:27,Twitter,Mexico,English,Interest Rates,-0.79,Negative,High,Anticipation,4332,926,132,Low,bad service,0
P00402,2025-04-24 03:21:27,TikTok,Mexico,English,Repayment,0.81,Positive,High,Fear,997,137,138,Medium,loan approved,0
P00403,2025-06-16 06:21:06,Twitter,Tanzania,Spanish,Customer Support,0.01,Neutral,Low,Sadness,4076,469,668,Medium,mobile app,0
P00404,2025-06-22 20:24:05,LinkedIn,Zambia,English,Customer Support,0.65,Positive,Medium,Trust,2731,349,492,High,helpful staff,0
P00405,2025-07-03 02:43:45,TikTok,Ghana,Spanish,Savings Product,-0.36,Negative,Medium,Anticipation,3937,1149,69,High,high interest,0
P00406,2025-05-19 22:04:05,TikTok,Tanzania,English,Repayment,0.79,Positive,High,Trust,4052,309,14,High,loan approved,1
P00407,2025-06-09 12:32:37,Instagram,South Africa,Twi,Mobile App,-0.22,Negative,Low,Surprise,372,1043,746,Medium,high interest,0
P00408,2025-06-20 12:01:30,Twitter,Tanzania,Swahili,Interest Rates,-0.98,Negative,High,Trust,2248,1001,211,High,fraud,0
P00409,2025-05-06 12:03:11,Instagram,Zambia,English,Savings Product,0.81,Positive,High,Joy,848,268,59,Medium,excellent service,0
P00410,2025-03-03 01:24:19,Facebook,South Africa,Twi,Loan Application,-0.82,Negative,High,Anticipation,2556,1026,251,Low,bad service,0
P00411,2025-03-09 20:59:17,TikTok,Botswana,Spanish,Savings Product,-0.36,Negative,Medium,Anticipation,2322,769,445,High,fraud,0
P00412,2025-03-30 14:45:31,Instagram,Botswana,Swahili,Savings Product,0.9,Positive,High,Anger,503,15,1,High,excellent service,0
P00413,2025-03-15 06:33:34,Facebook,Ghana,Spanish,Customer Support,0.9,Positive,High,Disgust,3189,605,747,Medium,excellent service,0
P00414,2025-02-12 08:33:06,Twitter,Colombia,Spanish,Loan Application,0.15,Positive,Low,Surprise,702,812,335,Medium,loan approved,1
P00415,2025-05-24 11:10:32,Twitter,South Africa,Swahili,Customer Support,0.26,Positive,Low,Joy,3625,1156,18,High,fast process,0
P00416,2025-06-23 20:47:01,LinkedIn,Botswana,Twi,Savings Product,-0.1,Negative,Low,Disgust,314,481,560,Medium,hidden fees,0
P00417,2025-05-17 06:48:46,Facebook,Botswana,Twi,Savings Product,-0.41,Negative,Medium,Anger,2376,894,77,Low,slow approval,0
P00418,2025-02-12 20:04:58,Facebook,Zambia,Spanish,Loan Application,-0.34,Negative,Medium,Fear,1040,268,471,High,hidden fees,0
P00419,2025-06-26 05:49:07,Instagram,Botswana,English,Customer Support,0.35,Positive,Medium,Fear,4378,413,27,Medium,loan approved,0
P00420,2025-04-02 21:30:15,TikTok,Colombia,Swahili,Repayment,0.5,Positive,Medium,Anger,2990,24,559,High,loan approved,0
P00421,2025-02-12 02:24:34,TikTok,Mexico,Swahili,Repayment,0.58,Positive,Medium,Fear,257,315,607,High,great rates,0
P00422,2025-02-10 17:40:48,LinkedIn,Tanzania,Swahili,Repayment,0.58,Positive,Medium,Joy,574,570,164,Low,helpful staff,0
P00423,2025-05-25 10:27:53,LinkedIn,Tanzania,English,Repayment,-0.82,Negative,High,Joy,4669,724,457,Low,high interest,0
P00424,2025-05-04 13:59:43,LinkedIn,Botswana,English,Customer Support,-0.01,Neutral,Low,Surprise,1552,1007,175,Low,mobile app,0
P00425,2025-05-09 15:27:09,Facebook,Botswana,Spanish,Repayment,-0.88,Negative,High,Fear,4518,388,584,Medium,hidden fees,0
P00426,2025-07-29 12:39:16,Twitter,Colombia,Twi,Interest Rates,0.1,Positive,Low,Trust,757,721,28,Medium,fast process,0
P00427,2025-07-16 13:57:45,Twitter,Zambia,English,Customer Support,-0.12,Negative,Low,Anger,2810,443,668,High,fraud,0
P00428,2025-05-15 03:13:37,Instagram,Mexico,English,Interest Rates,0.78,Positive,High,Anger,1104,998,278,Low,great rates,0
P00429,2025-03-03 13:41:22,TikTok,Botswana,Swahili,Customer Support,-0.3,Negative,Low,Trust,4524,1080,282,Low,high interest,0
P00430,2025-02-12 01:04:40,TikTok,Botswana,Spanish,Savings Product,-0.77,Negative,High,Trust,3459,696,478,High,fraud,0
P00431,2025-05-10 14:39:08,Instagram,Mexico,English,Loan Application,-0.71,Negative,High,Anger,3992,970,518,Low,fraud,0
P00432,2025-02-16 13:20:47,Facebook,Mexico,Twi,Mobile App,0.52,Positive,Medium,Trust,203,720,304,Low,great rates,0
P00433,2025-07-16 07:32:37,Twitter,South Africa,English,Savings Product,0.24,Positive,Low,Anger,2775,367,693,Medium,helpful staff,0
P00434,2025-03-09 02:00:25,LinkedIn,Zambia,Spanish,Repayment,-0.8,Negative,High,Disgust,2332,341,108,High,bad service,0
P00435,2025-02-14 07:19:57,Twitter,Mexico,Twi,Repayment,-0.83,Negative,High,Surprise,1992,303,323,High,high interest,0
P00436,2025-05-27 13:03:52,Instagram,Colombia,Twi,Loan Application,0.4,Positive,Medium,Anger,2243,763,205,Medium,fast process,0
P00437,2025-02-14 04:43:14,Twitter,Colombia,Swahili,Loan Application,-0.85,Negative,High,Disgust,306,815,233,Medium,hidden fees,0
P00438,2025-06-12 02:43:06,LinkedIn,Ghana,Twi,Loan Application,0.64,Positive,Medium,Trust,1687,111,457,High,excellent service,0
P00439,2025-07-18 08:22:06,TikTok,Botswana,English,Savings Product,0.41,Positive,Medium,Anticipation,4109,877,186,Low,helpful staff,0
P00440,2025-03-18 16:07:46,Instagram,Tanzania,Spanish,Interest Rates,-0.84,Negative,High,Anticipation,1860,1029,481,Medium,slow approval,0
P00441,2025-04-20 09:43:49,Facebook,Tanzania,Twi,Mobile App,-0.83,Negative,High,Sadness,1961,929,406,Medium,hidden fees,1
P00442,2025-02-24 06:42:43,Twitter,Botswana,English,Interest Rates,0.97,Positive,High,Anticipation,722,702,508,Medium,loan approved,0
P00443,2025-07-23 21:02:22,Twitter,Ghana,Spanish,Mobile App,-0.25,Negative,Low,Surprise,779,845,519,Medium,high interest,0
P00444,2025-05-22 14:52:47,Facebook,Colombia,Twi,Savings Product,-0.26,Negative,Low,Joy,528,943,52,Medium,high interest,0
P00445,2025-03-20 19:26:48,Facebook,Colombia,Swahili,Loan Application,0.63,Positive,Medium,Anger,4893,278,397,High,excellent service,0
P00446,2025-05-24 09:57:30,LinkedIn,Zambia,English,Interest Rates,0.89,Positive,High,Anger,343,381,198,Medium,fast process,0
P00447,2025-05-27 10:39:36,Twitter,Colombia,English,Loan Application,0.97,Positive,High,Disgust,3786,12,390,Low,fast process,1
P00448,2025-02-08 17:12:34,Instagram,Botswana,Swahili,Interest Rates,0.51,Positive,Medium,Surprise,3682,302,648,Medium,great rates,1
P00449,2025-06-01 06:31:37,Twitter,Tanzania,Twi,Repayment,-0.25,Negative,Low,Joy,208,159,770,Low,high interest,0
P00450,2025-02-16 22:04:13,LinkedIn,Botswana,English,Repayment,-0.83,Negative,High,Anticipation,4736,153,497,High,fraud,0
P00451,2025-04-23 09:43:46,Instagram,Mexico,English,Interest Rates,0.55,Positive,Medium,Surprise,3406,753,171,Low,great rates,0
P00452,2025-06-08 15:34:51,Instagram,Zambia,Twi,Loan Application,0.12,Positive,Low,Surprise,1311,180,85,High,great rates,0
P00453,2025-05-25 08:06:36,Instagram,Zambia,Swahili,Savings Product,-0.15,Negative,Low,Trust,2299,376,557,Medium,slow approval,0
P00454,2025-05-21 18:08:54,LinkedIn,Botswana,Twi,Savings Product,0.81,Positive,High,Joy,3336,775,185,Medium,loan approved,0
P00455,2025-05-13 12:20:38,Twitter,Tanzania,Spanish,Repayment,-0.78,Negative,High,Joy,1947,1191,155,Low,high interest,0
P00456,2025-04-03 10:23:25,TikTok,Zambia,Twi,Mobile App,-0.01,Neutral,Low,Anticipation,919,1173,492,High,mobile app,0
P00457,2025-03-23 15:15:22,Instagram,Ghana,English,Repayment,-0.98,Negative,High,Trust,2044,15,520,High,hidden fees,0
P00458,2025-03-12 15:55:00,Facebook,Mexico,Spanish,Repayment,-0.06,Negative,Low,Sadness,418,1114,626,High,slow approval,0
P00459,2025-06-11 01:08:57,LinkedIn,South Africa,Spanish,Mobile App,-0.89,Negative,High,Sadness,1749,1143,665,Low,fraud,0
P00460,2025-06-20 01:41:44,Instagram,South Africa,Twi,Savings Product,-0.76,Negative,High,Sadness,2842,252,129,Low,bad service,0
P00461,2025-04-03 00:12:10,LinkedIn,Colombia,English,Customer Support,-0.76,Negative,High,Fear,1099,1083,80,High,fraud,0
P00462,2025-03-19 08:21:25,Facebook,Mexico,Spanish,Repayment,0.3,Positive,Low,Disgust,3392,30,383,Medium,excellent service,0
P00463,2025-03-24 13:51:12,Instagram,Tanzania,Swahili,Loan Application,0.49,Positive,Medium,Disgust,2772,1044,658,Medium,great rates,0
P00464,2025-04-18 20:29:44,Twitter,Botswana,English,Mobile App,0.17,Positive,Low,Anticipation,2480,730,294,Medium,great rates,1
P00465,2025-02-26 09:56:13,LinkedIn,Botswana,English,Loan Application,0.92,Positive,High,Anticipation,1545,288,268,Medium,fast process,0
P00466,2025-06-11 10:18:11,Instagram,Botswana,Twi,Savings Product,-0.25,Negative,Low,Surprise,1070,497,644,High,bad service,0
P00467,2025-06-06 08:15:06,Instagram,Ghana,English,Loan Application,-0.43,Negative,Medium,Anticipation,1850,547,561,Medium,high interest,0
P00468,2025-03-31 06:05:15,LinkedIn,Colombia,Swahili,Loan Application,0.74,Positive,High,Surprise,4198,960,534,Medium,helpful staff,0
P00469,2025-04-30 18:49:15,Facebook,Colombia,English,Interest Rates,-0.55,Negative,Medium,Anger,2939,131,377,Low,bad service,1
P00470,2025-04-03 09:29:33,LinkedIn,Mexico,Swahili,Interest Rates,0.93,Positive,High,Anticipation,1903,857,375,Medium,fast process,0
P00471,2025-07-31 09:32:21,TikTok,Ghana,Spanish,Mobile App,-0.98,Negative,High,Trust,678,1155,87,Low,bad service,0
P00472,2025-06-26 23:56:32,Twitter,South Africa,Twi,Customer Support,0.94,Positive,High,Fear,988,520,623,High,loan approved,0
P00473,2025-02-15 02:04:31,Facebook,Colombia,English,Mobile App,-0.91,Negative,High,Surprise,2475,29,110,Medium,bad service,0
P00474,2025-02-02 19:24:47,Twitter,Colombia,English,Loan Application,0.78,Positive,High,Trust,1607,626,583,High,great rates,0
P00475,2025-04-30 23:45:55,Twitter,Mexico,English,Mobile App,0.06,Positive,Low,Anger,2869,3,153,Medium,loan approved,0
P00476,2025-06-01 14:48:42,LinkedIn,Colombia,Swahili,Interest Rates,0.99,Positive,High,Trust,1502,508,462,Low,fast process,0
P00477,2025-05-21 07:44:25,TikTok,Mexico,Spanish,Mobile App,-0.85,Negative,High,Anticipation,1789,15,568,Low,fraud,0
P00478,2025-02-20 09:56:47,Instagram,Zambia,Twi,Interest Rates,0.11,Positive,Low,Trust,1425,996,768,Low,excellent service,0
P00479,2025-02-15 05:25:10,TikTok,Botswana,Swahili,Savings Product,0.94,Positive,High,Trust,2440,955,155,High,helpful staff,0
P00480,2025-05-16 09:33:28,Facebook,Ghana,Swahili,Interest Rates,0.05,Neutral,Low,Anger,2042,1130,624,Low,mobile app,0
P00481,2025-03-14 09:22:15,TikTok,South Africa,Twi,Loan Application,0.26,Positive,Low,Fear,1278,262,317,High,fast process,0
P00482,2025-05-10 05:35:36,Twitter,South Africa,Spanish,Loan Application,0.39,Positive,Medium,Trust,2594,1088,558,Low,excellent service,0
P00483,2025-03-24 11:55:24,Instagram,Zambia,English,Repayment,-0.09,Negative,Low,Joy,4689,264,237,High,hidden fees,0
P00484,2025-02-26 17:17:32,TikTok,Colombia,English,Repayment,0.26,Positive,Low,Surprise,2436,377,333,High,fast process,0
P00485,2025-04-09 18:29:56,Instagram,Colombia,English,Loan Application,0.17,Positive,Low,Anger,3803,1198,105,Medium,helpful staff,1
P00486,2025-07-22 01:07:28,TikTok,Mexico,Spanish,Loan Application,0.8,Positive,High,Joy,2205,962,481,Medium,loan approved,0
P00487,2025-02-14 08:35:26,Instagram,Ghana,Swahili,Interest Rates,-0.91,Negative,High,Surprise,1027,1175,698,High,high interest,0
P00488,2025-07-21 17:41:46,TikTok,Zambia,English,Loan Application,-0.44,Negative,Medium,Trust,3539,475,670,Low,fraud,1
P00489,2025-03-20 10:26:52,Facebook,Zambia,Swahili,Customer Support,0.9,Positive,High,Surprise,3483,328,709,Medium,great rates,1
P00490,2025-04-13 18:07:15,Instagram,Mexico,English,Mobile App,0.78,Positive,High,Fear,2241,1186,381,High,fast process,0
P00491,2025-03-28 08:08:15,LinkedIn,Botswana,Swahili,Loan Application,-0.09,Negative,Low,Anger,2765,437,688,Low,fraud,0
P00492,2025-03-03 15:09:12,Twitter,Tanzania,Swahili,Interest Rates,0.24,Positive,Low,Surprise,1173,15,260,High,loan approved,0
P00493,2025-04-27 02:05:17,Instagram,Colombia,Spanish,Repayment,-0.45,Negative,Medium,Sadness,3230,867,798,High,slow approval,0
P00494,2025-07-12 21:31:59,Twitter,South Africa,Swahili,Interest Rates,-0.62,Negative,Medium,Anger,3350,510,292,Low,fraud,0
P00495,2025-05-17 11:34:45,TikTok,Botswana,Swahili,Interest Rates,-0.07,Negative,Low,Anger,4911,983,334,Low,high interest,0
P00496,2025-06-17 14:44:01,TikTok,South Africa,Spanish,Loan Application,-0.29,Negative,Low,Sadness,403,580,654,Low,hidden fees,0
P00497,2025-03-31 17:49:55,TikTok,Zambia,English,Repayment,0.17,Positive,Low,Sadness,4988,5,708,Low,loan approved,0
P00498,2025-05-30 18:37:29,TikTok,Mexico,Swahili,Savings Product,-0.84,Negative,High,Trust,2725,1018,475,Low,fraud,0
P00499,2025-07-07 17:21:30,TikTok,Mexico,English,Mobile App,0.95,Positive,High,Anticipation,3382,806,224,High,excellent service,0
P00500,2025-06-07 23:45:01,Facebook,Botswana,Twi,Customer Support,0.97,Positive,High,Surprise,4163,618,554,Low,loan approved,0
P00501,2025-05-14 17:02:32,Twitter,Colombia,Twi,Mobile App,0.4,Positive,Medium,Anger,87,1141,453,Medium,helpful staff,0
P00502,2025-02-02 12:27:29,Instagram,Mexico,Spanish,Savings Product,0.07,Positive,Low,Trust,1158,404,662,Medium,excellent service,0
P00503,2025-06-10 16:28:05,Facebook,South Africa,Twi,Savings Product,-0.38,Negative,Medium,Fear,4273,996,295,High,high interest,0
P00504,2025-07-09 15:58:52,Facebook,South Africa,Swahili,Mobile App,0.63,Positive,Medium,Anger,2857,593,574,High,great rates,0
P00505,2025-05-19 16:38:02,Facebook,Zambia,English,Customer Support,0.37,Positive,Medium,Joy,1381,565,641,High,helpful staff,1
P00506,2025-03-31 03:12:21,Facebook,Botswana,Spanish,Savings Product,-0.67,Negative,High,Joy,4681,751,766,Medium,hidden fees,0
P00507,2025-07-31 22:17:52,Facebook,South Africa,Spanish,Customer Support,0.82,Positive,High,Fear,2064,11,462,Low,excellent service,0
P00508,2025-06-09 19:36:55,Twitter,Tanzania,English,Interest Rates,0.65,Positive,Medium,Anticipation,2374,164,213,Medium,excellent service,0
P00509,2025-02-21 02:44:53,Instagram,Mexico,English,Loan Application,0.9,Positive,High,Anticipation,317,877,584,High,excellent service,0
P00510,2025-07-21 12:22:05,Twitter,Colombia,Spanish,Savings Product,0.45,Positive,Medium,Anticipation,1502,77,615,Medium,great rates,0
P00511,2025-02-27 01:50:31,Instagram,Botswana,Swahili,Mobile App,0.23,Positive,Low,Joy,2042,613,157,High,loan approved,0
P00512,2025-03-24 08:30:01,Facebook,South Africa,English,Loan Application,-0.16,Negative,Low,Trust,4598,868,271,Medium,fraud,0
P00513,2025-02-23 09:56:11,Facebook,Tanzania,English,Interest Rates,0.87,Positive,High,Joy,2022,811,237,Low,excellent service,0
P00514,2025-07-23 18:21:42,TikTok,Mexico,Spanish,Savings Product,0.73,Positive,High,Joy,118,1100,302,Medium,great rates,0
P00515,2025-02-21 18:49:25,LinkedIn,Ghana,English,Repayment,-0.91,Negative,High,Joy,709,1071,669,Low,high interest,0
P00516,2025-06-25 03:54:45,LinkedIn,Zambia,English,Mobile App,-0.95,Negative,High,Disgust,3557,766,620,Low,hidden fees,0
P00517,2025-05-19 10:12:32,Twitter,Botswana,English,Customer Support,-0.25,Negative,Low,Fear,4140,81,520,Low,bad service,0
P00518,2025-03-03 04:26:23,Twitter,Colombia,Spanish,Interest Rates,0.62,Positive,Medium,Trust,4409,208,320,Low,great rates,1
P00519,2025-03-25 21:14:04,Instagram,Colombia,Swahili,Customer Support,0.97,Positive,High,Disgust,3250,521,58,High,excellent service,0
P00520,2025-03-27 17:04:45,TikTok,Botswana,Spanish,Repayment,-0.7,Negative,High,Fear,417,1052,357,Medium,hidden fees,0
P00521,2025-05-29 10:42:40,Instagram,Botswana,Twi,Loan Application,0.19,Positive,Low,Anticipation,2603,993,703,Low,excellent service,0
P00522,2025-03-13 21:36:19,TikTok,Botswana,English,Loan Application,-0.24,Negative,Low,Fear,3854,464,647,High,fraud,0
P00523,2025-06-20 08:18:54,LinkedIn,Colombia,Twi,Customer Support,0.94,Positive,High,Anger,1101,627,250,Medium,excellent service,0
P00524,2025-04-08 13:56:16,LinkedIn,Zambia,Twi,Interest Rates,0.68,Positive,High,Joy,4421,780,435,High,excellent service,0
P00525,2025-03-12 12:49:56,TikTok,Colombia,Spanish,Loan Application,0.68,Positive,High,Disgust,3428,558,145,Low,loan approved,0
P00526,2025-06-14 11:58:07,Instagram,Ghana,Twi,Loan Application,-0.06,Negative,Low,Joy,2261,959,351,Low,slow approval,0
P00527,2025-06-04 03:45:47,Twitter,Mexico,Spanish,Interest Rates,-0.17,Negative,Low,Disgust,4169,90,569,Low,fraud,0
P00528,2025-07-16 14:51:42,TikTok,Mexico,Swahili,Savings Product,-0.45,Negative,Medium,Trust,3634,1076,688,Medium,fraud,0
P00529,2025-03-24 06:15:14,TikTok,Mexico,Swahili,Interest Rates,-0.89,Negative,High,Surprise,508,859,799,High,slow approval,0
P00530,2025-05-10 03:22:36,TikTok,Botswana,English,Customer Support,0.73,Positive,High,Fear,2379,555,244,High,great rates,0
P00531,2025-05-06 20:43:24,Instagram,Zambia,English,Loan Application,0.63,Positive,Medium,Fear,3164,155,559,High,excellent service,1
P00532,2025-03-21 18:18:35,Twitter,Zambia,English,Interest Rates,1.0,Positive,High,Joy,687,1,300,Medium,fast process,0
P00533,2025-07-26 19:10:25,Instagram,Botswana,Twi,Customer Support,0.99,Positive,High,Disgust,4752,824,437,High,great rates,0
P00534,2025-07-27 08:19:40,Facebook,Colombia,Spanish,Repayment,0.11,Positive,Low,Trust,1292,801,99,High,helpful staff,1
P00535,2025-07-15 07:07:44,Facebook,Botswana,Swahili,Repayment,0.54,Positive,Medium,Anticipation,3905,982,724,Medium,helpful staff,0
P00536,2025-02-10 20:44:24,TikTok,Ghana,Twi,Mobile App,0.89,Positive,High,Trust,3075,1081,479,Medium,helpful staff,0
P00537,2025-02-18 22:08:31,TikTok,Botswana,Spanish,Interest Rates,0.7,Positive,High,Joy,3209,492,414,Low,helpful staff,0
P00538,2025-06-04 03:58:47,TikTok,Tanzania,Swahili,Mobile App,-0.51,Negative,Medium,Joy,324,668,164,Medium,high interest,0
P00539,2025-04-24 06:00:22,Twitter,Colombia,Twi,Customer Support,-0.1,Negative,Low,Sadness,1993,1058,637,Low,high interest,0
P00540,2025-07-12 01:02:32,Twitter,Botswana,Twi,Loan Application,-0.74,Negative,High,Anticipation,3976,74,301,Low,bad service,0
P00541,2025-03-26 17:25:23,TikTok,Ghana,Twi,Interest Rates,0.91,Positive,High,Anticipation,4812,943,120,Medium,great rates,0
P00542,2025-02-09 13:27:33,Twitter,South Africa,Spanish,Repayment,0.21,Positive,Low,Trust,2770,370,87,Low,helpful staff,0
P00543,2025-02-01 16:31:26,LinkedIn,Mexico,Twi,Mobile App,-0.54,Negative,Medium,Sadness,4372,586,216,High,slow approval,1
P00544,2025-04-06 18:29:10,TikTok,Colombia,Twi,Repayment,0.34,Positive,Medium,Anticipation,2583,328,572,Medium,helpful staff,0
P00545,2025-06-30 17:40:33,LinkedIn,Colombia,English,Repayment,0.24,Positive,Low,Fear,3557,589,178,Low,great rates,0
P00546,2025-02-26 09:39:49,Instagram,Ghana,English,Savings Product,-0.28,Negative,Low,Fear,3587,776,701,Low,slow approval,0
P00547,2025-06-04 17:09:48,LinkedIn,Zambia,Twi,Repayment,-0.77,Negative,High,Trust,151,303,162,Low,high interest,0
P00548,2025-03-23 20:48:00,Instagram,Zambia,Swahili,Repayment,0.34,Positive,Medium,Fear,954,578,592,Low,excellent service,0
P00549,2025-03-04 09:01:35,Instagram,Mexico,Swahili,Interest Rates,0.04,Neutral,Low,Anticipation,4354,220,169,High,interest rate,0
P00550,2025-06-24 22:23:11,TikTok,Tanzania,Twi,Interest Rates,0.54,Positive,Medium,Fear,2371,978,300,Low,fast process,0
P00551,2025-04-27 19:06:09,TikTok,South Africa,English,Interest Rates,0.04,Neutral,Low,Fear,4964,1187,373,Medium,mobile app,0
P00552,2025-05-19 03:01:01,Instagram,Ghana,Spanish,Repayment,0.7,Positive,High,Sadness,1191,374,707,Medium,great rates,0
P00553,2025-06-18 00:38:55,Twitter,Botswana,Spanish,Loan Application,0.1,Positive,Low,Anticipation,687,187,202,Low,helpful staff,0
P00554,2025-04-25 01:09:55,Facebook,Tanzania,Spanish,Repayment,0.12,Positive,Low,Anger,309,1109,46,High,fast process,1
P00555,2025-05-20 22:00:55,LinkedIn,Zambia,Twi,Mobile App,0.75,Positive,High,Disgust,1502,473,462,High,helpful staff,0
P00556,2025-02-02 21:03:50,Instagram,Tanzania,Spanish,Customer Support,-0.19,Negative,Low,Anger,3127,843,669,High,high interest,0
P00557,2025-02-22 17:22:12,Facebook,South Africa,English,Customer Support,-0.73,Negative,High,Anticipation,4568,530,407,High,fraud,0
P00558,2025-02-15 14:39:42,TikTok,South Africa,Twi,Customer Support,-0.94,Negative,High,Trust,3367,1070,193,Low,fraud,0
P00559,2025-07-22 11:34:26,TikTok,South Africa,Spanish,Mobile App,0.51,Positive,Medium,Anticipation,3395,1088,426,Low,loan approved,0
P00560,2025-06-15 04:23:05,Instagram,Tanzania,English,Loan Application,0.24,Positive,Low,Sadness,813,962,790,High,fast process,0
P00561,2025-07-26 12:36:44,Twitter,Ghana,Spanish,Loan Application,0.41,Positive,Medium,Anger,845,474,316,High,great rates,0
P00562,2025-03-01 22:38:35,Instagram,Tanzania,Swahili,Customer Support,-0.57,Negative,Medium,Fear,1164,1169,478,Low,bad service,0
P00563,2025-05-17 22:38:06,LinkedIn,Ghana,Swahili,Loan Application,-0.73,Negative,High,Anticipation,4762,945,420,Low,fraud,0
P00564,2025-02-07 23:54:11,Facebook,Tanzania,English,Savings Product,-0.97,Negative,High,Surprise,1767,1089,268,Low,hidden fees,0
P00565,2025-07-13 01:29:40,Twitter,South Africa,English,Savings Product,-0.3,Negative,Low,Anger,354,516,480,Medium,high interest,0
P00566,2025-04-13 16:40:16,Instagram,Mexico,Swahili,Savings Product,0.18,Positive,Low,Joy,1872,1116,710,Medium,great rates,1
P00567,2025-05-25 02:41:28,LinkedIn,Botswana,English,Customer Support,-0.22,Negative,Low,Anger,2024,425,735,Medium,slow approval,0
P00568,2025-05-19 06:57:12,LinkedIn,Colombia,Twi,Repayment,-0.13,Negative,Low,Fear,2817,1117,262,High,slow approval,0
P00569,2025-03-01 18:10:01,Twitter,Tanzania,Twi,Interest Rates,0.81,Positive,High,Trust,3832,132,425,High,excellent service,0
P00570,2025-04-25 10:57:04,LinkedIn,Colombia,Swahili,Interest Rates,-0.3,Negative,Low,Trust,4275,313,165,High,bad service,0
P00571,2025-02-25 17:56:21,LinkedIn,Colombia,Twi,Mobile App,0.03,Neutral,Low,Fear,65,590,691,High,loan application,0
P00572,2025-02-09 02:56:11,LinkedIn,Colombia,English,Savings Product,0.57,Positive,Medium,Fear,4915,1008,427,Medium,loan approved,0
P00573,2025-04-01 20:35:16,LinkedIn,Zambia,English,Loan Application,-0.21,Negative,Low,Trust,4266,158,703,Medium,bad service,0
P00574,2025-04-12 19:23:57,Instagram,Tanzania,Twi,Customer Support,0.24,Positive,Low,Anger,4090,660,396,High,helpful staff,0
P00575,2025-07-25 13:33:26,Twitter,Zambia,Swahili,Savings Product,0.72,Positive,High,Fear,2521,747,215,Low,loan approved,1
P00576,2025-07-05 14:11:55,Facebook,Mexico,Swahili,Loan Application,0.9,Positive,High,Disgust,2581,800,795,Low,great rates,0
P00577,2025-07-18 03:09:53,Facebook,Colombia,English,Customer Support,-0.71,Negative,High,Trust,1390,409,106,Medium,fraud,0
P00578,2025-02-08 17:55:24,LinkedIn,Tanzania,Swahili,Repayment,0.85,Positive,High,Sadness,1130,679,97,High,fast process,0
P00579,2025-07-25 13:17:32,Instagram,Botswana,Swahili,Mobile App,-0.02,Neutral,Low,Anger,2486,113,481,High,interest rate,0
P00580,2025-04-11 11:30:42,LinkedIn,Tanzania,Swahili,Mobile App,-0.48,Negative,Medium,Sadness,834,896,498,Medium,hidden fees,0
